Bootstraps,StructureChoice,StructureChoice_Choose_N,Score,Score_Choose_N,EvaluationMetric,EvaluationMetric_Cutoff,Split,N_Per_Split,PoseSelection,PoseSelection_Choose_N,Min,Max,CI_Upper,CI_Lower,Total,Fraction
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,1,Default,1,0.0,0.6666666666666666,0.6323529411764706,0.014705882352941176,204,0.4617009803921568
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,5,Default,1,0.5853658536585366,0.8585365853658536,0.824390243902439,0.6536585365853659,205,0.7545268292682926
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,10,Default,1,0.5804878048780487,0.8926829268292683,0.8634146341463415,0.7268292682926829,205,0.8134634146341465
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,15,Default,1,0.6780487804878049,0.9073170731707317,0.8829268292682927,0.7609756097560976,205,0.8386731707317074
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,20,Default,1,0.7463414634146341,0.9073170731707317,0.8926829268292683,0.7804878048780488,205,0.8525707317073172
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,25,Default,1,0.751219512195122,0.9170731707317074,0.8975609756097561,0.7951219512195122,205,0.8604097560975611
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,30,Default,1,0.7804878048780488,0.9219512195121952,0.9073170731707317,0.8048780487804879,205,0.866487804878049
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,35,Default,1,0.7707317073170732,0.9219512195121952,0.9073170731707317,0.8097560975609757,205,0.8716682926829269
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,40,Default,1,0.7658536585365854,0.926829268292683,0.9121951219512195,0.8195121951219512,205,0.8756439024390245
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,45,Default,1,0.7804878048780488,0.9219512195121952,0.9121951219512195,0.824390243902439,205,0.8790829268292685
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,50,Default,1,0.7951219512195122,0.9317073170731708,0.9121951219512195,0.8292682926829268,205,0.8809853658536588
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,55,Default,1,0.8146341463414634,0.9317073170731708,0.9170731707317074,0.8439024390243902,205,0.884429268292683
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,60,Default,1,0.8146341463414634,0.9317073170731708,0.9170731707317074,0.8439024390243902,205,0.8852878048780489
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,65,Default,1,0.8097560975609757,0.9365853658536586,0.9219512195121952,0.8439024390243902,205,0.887639024390244
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,70,Default,1,0.8146341463414634,0.9317073170731708,0.9170731707317074,0.8536585365853658,205,0.8892243902439027
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,75,Default,1,0.824390243902439,0.9365853658536586,0.9219512195121952,0.8536585365853658,205,0.8916146341463416
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,80,Default,1,0.8390243902439024,0.9317073170731708,0.9219512195121952,0.8536585365853658,205,0.8916195121951221
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,85,Default,1,0.8292682926829268,0.9365853658536586,0.9219512195121952,0.8585365853658536,205,0.8937756097560977
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,90,Default,1,0.8390243902439024,0.9414634146341463,0.926829268292683,0.8585365853658536,205,0.8949609756097564
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,95,Default,1,0.848780487804878,0.9463414634146341,0.9219512195121952,0.8634146341463415,205,0.894907317073171
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,100,Default,1,0.848780487804878,0.9414634146341463,0.9219512195121952,0.8634146341463415,205,0.8969317073170733
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,105,Default,1,0.848780487804878,0.9317073170731708,0.9219512195121952,0.8682926829268293,205,0.8976585365853662
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,110,Default,1,0.8439024390243902,0.9414634146341463,0.926829268292683,0.8682926829268293,205,0.8995707317073173
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,115,Default,1,0.848780487804878,0.9414634146341463,0.926829268292683,0.8731707317073171,205,0.8990439024390245
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,120,Default,1,0.8536585365853658,0.9463414634146341,0.9219512195121952,0.8731707317073171,205,0.9007121951219514
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,125,Default,1,0.8585365853658536,0.9365853658536586,0.926829268292683,0.8731707317073171,205,0.9010439024390247
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,130,Default,1,0.8585365853658536,0.9414634146341463,0.926829268292683,0.8731707317073171,205,0.9012634146341466
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,135,Default,1,0.8585365853658536,0.9414634146341463,0.926829268292683,0.8780487804878049,205,0.9027024390243905
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,140,Default,1,0.8634146341463415,0.9414634146341463,0.926829268292683,0.8780487804878049,205,0.9025902439024391
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,145,Default,1,0.8536585365853658,0.9365853658536586,0.926829268292683,0.8829268292682927,205,0.9041219512195123
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,150,Default,1,0.8682926829268293,0.9317073170731708,0.926829268292683,0.8829268292682927,205,0.9052000000000002
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,155,Default,1,0.8634146341463415,0.9317073170731708,0.926829268292683,0.8829268292682927,205,0.9050926829268294
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,160,Default,1,0.8682926829268293,0.9365853658536586,0.9219512195121952,0.8829268292682927,205,0.9064878048780489
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,165,Default,1,0.8682926829268293,0.9365853658536586,0.926829268292683,0.8878048780487805,205,0.9069463414634149
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,170,Default,1,0.8731707317073171,0.9365853658536586,0.926829268292683,0.8878048780487805,205,0.9079219512195122
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,175,Default,1,0.8731707317073171,0.9365853658536586,0.926829268292683,0.8926829268292683,205,0.9083804878048782
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,180,Default,1,0.8829268292682927,0.9365853658536586,0.926829268292683,0.8926829268292683,205,0.9088390243902441
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,185,Default,1,0.8780487804878049,0.9365853658536586,0.926829268292683,0.8926829268292683,205,0.9096585365853662
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,190,Default,1,0.8829268292682927,0.9317073170731708,0.926829268292683,0.8975609756097561,205,0.9103268292682929
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,195,Default,1,0.8829268292682927,0.9317073170731708,0.926829268292683,0.8975609756097561,205,0.9116390243902441
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,200,Default,1,0.8926829268292683,0.9317073170731708,0.9219512195121952,0.8975609756097561,205,0.9116536585365856
1000,Dock_to_All,All,POSIT_Probability,1,RMSD,2.0,RandomSplit,205,Default,1,0.9170731707317074,0.9170731707317074,0.9170731707317074,0.9170731707317074,205,0.9170731707317077
